,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,위도,경도,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,파워타입,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
78,삼성래미안1차아파트,CU310030,25,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007143310,20220929135121,20220929135209,20220929135121,,7,단독,41,41460,H0,H001,N,,N,,N,
79,삼성래미안1차아파트,CU310030,26,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007142810,20220929135236,20220929135255,20220929135236,,7,단독,41,41460,H0,H001,N,,N,,N,
80,삼성래미안1차아파트,CU310030,27,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007144310,20220929163113,20220929163157,20220929163113,,7,단독,41,41460,H0,H001,N,,N,,N,
81,삼성래미안1차아파트,CU310030,28,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007143810,20220929163200,20220929163235,20220929163200,,7,단독,41,41460,H0,H001,N,,N,,N,
82,강남앤플러스,CV000170,01,02,경기도 용인시 기흥구 강남로 3,null,24시간 이용가능,37.2710262,127.1260965,CV,대영채비,대영채비,1522-2573,2,20221007091025,20221003134916,20221003172926,20221003134916,,,,41,41460,E0,E001,Y,,N,,N,
83,강남앤플러스,CV000170,02,02,경기도 용인시 기흥구 강남로 3,null,24시간 이용가능,37.2710262,127.1260965,CV,대영채비,대영채비,1522-2573,3,20221011130028,20221011125513,20221011125517,20221011125513,,,,41,41460,E0,E001,Y,,N,,N,
84,광교산 한양수자인더킨포크,CV000436,01,02,경기도 용인시 수지구 태봉로 17,null,24시간 이용가능,37.334572,127.057609,CV,대영채비,대영채비(주),1522-2573,9,20221006151810,20221006101932,20221006113242,20220929211615,,,,41,41460,H0,H001,Y,,N,,N,
85,광교산 한양수자인더킨포크,CV000436,02,02,경기도 용인시 수지구 태봉로 17,null,24시간 이용가능,37.334572,127.057609,CV,대영채비,대영채비(주),1522-2573,9,20221006151810,20221005214639,20221006005425,20220929201238,,,,41,41460,H0,H001,Y,,N,,N,
86,광교산 한양수자인더킨포크,CV000436,03,02,경기도 용인시 수지구 태봉로 17,null,24시간 이용가능,37.334572,127.057609,CV,대영채비,대영채비(주),1522-2573,9,20221006151810,20221006103310,20221006110725,20220930082240,,,,41,41460,H0,H001,Y,,N,,N,
87,에버랜드 셔틀버스 주차장,CV000449,01,02,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20221007091030,20220929195407,20220930053954,20220929195407,,,,41,41460,J0,J005,Y,,N,,N,
88,에버랜드 셔틀버스 주차장,CV000449,02,02,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20221007091030,20220823191112,20220824061514,20220823191112,,,,41,41460,J0,J005,Y,,N,,N,
89,에버랜드 셔틀버스 주차장,CV000449,03,02,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20221007091030,20220806125521,20220806175016,20220806125521,,,,41,41460,J0,J005,Y,,N,,N,
90,에버랜드 셔틀버스 주차장,CV000449,04,02,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20221007091030,20221006165459,20221006205420,20220929180030,,,,41,41460,J0,J005,Y,,N,,N,
91,에버랜드 셔틀버스 주차장,CV000449,05,02,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20221007091030,20221007081522,20221007081524,20220823141513,,,,41,41460,J0,J005,Y,,N,,N,
92,에버랜드 셔틀버스 주차장,CV000449,06,02,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20221007091030,20221007073401,20221007073405,20220806091723,,,,41,41460,J0,J005,Y,,N,,N,
93,에버랜드 홈브릿지 캐빈호스텔,CV000450,01,02,경기도 용인시 처인구 포곡읍 에버랜드로 199,홈브릿지 캐빈호스텔,24시간 이용가능,37.28929,127.1980408,CV,대영채비,대영채비,1522-2573,2,20221007091030,20220812093956,20220812164525,20220812093956,,,,41,41460,E0,E003,N,,N,,N,
